CustomerID;Title;FirstName;LastName;CompanyName;Phone;SalesPerson;Country;Region;Country%
20;Ms.;Jean;Handley;Central Discount Store;582-555-0113;David;Austria;East;40%
298;Mr.;Robert;Mitosinka;City Cycling;239-555-0198;José;Austria;East;40%
398;Ms.;Shirley;Bruner;Commendable Bikes;383-555-0155;David;Austria;East;40%
130;Mr.;Paulo;Lisboa;Elite Bikes;380-555-0116;Jillian;Austria;East;40%
214;Ms.;Jennifer;Maxham;Exclusive Bicycle Mart;584-555-0193;Jae;Austria;East;40%
509;Mr.;Robert;Ahlering;Fun Toys and Bikes;678-555-0175;Shu;Austria;East;40%
701;Ms.;Linda;Ecoffey;Future Bikes;674-555-0188;José;Austria;East;40%
59;Mr.;Douglas;Groncki;Locks Company;385-555-0140;Shu;Austria;East;40%
257;Mr.;Matthias;Berndt;Number 1 Supply;384-555-0169;Shu;Austria;East;40%
434;Mr.;James;Bailey;Road-Way Mart;234-555-0112;David;Austria;East;40%
431;Mr.;Douglas;Baldwin;Small Cycle Store;583-555-0130;Michael;Austria;East;40%
277;Mr.;Guy;Gilbert;The Bicycle Accessories;583-555-0198;Shu;Austria;East;40%
165;Mr.;Randall;Boseman;Third Bike Store;383-555-0117;Jillian;Austria;East;40%
453;Mr.;Jon;Ganio;Unique Bikes;672-555-0112;Jillian;Austria;East;40%
136;Mr.;Derek;Graham;Wholesale Parts;674-555-0187;José;Austria;East;40%
132;Ms.;Teanna;Cobb;Another Sporting Goods Company;661-555-0168;Linda;Austria;East;40%
492;Mr.;Garth;Fort;Basic Sports Equipment;768-555-0125;Linda;Austria;East;40%
529;Ms.;Jeanie;Glenn;Big-Time Bike Store;669-555-0149;Shu;Czech Republic;East;18%
12;Mr.;Johnny;Caprio;Bikes and Motorbikes;112-555-0191;Garrett;Czech Republic;East;18%
16;Mr.;Christopher;Beck;Bulk Discount Store;112-555-0192;Jae;Czech Republic;East;18%
689;Ms.;Sandra;Martinez;Consumer Equipment;763-555-0121;Jae;Czech Republic;East;18%
349;Mr.;Gary;Vargas;Exercise Center;112-555-0176;Shu;Czech Republic;East;18%
196;Ms.;Jolie;Lenehan;Exhibition Showroom;117-555-0174;Jae;Czech Republic;East;18%
641;Ms.;Rose;Vandenouer;Extended Tours;666-555-0144;Jae;Czech Republic;East;18%
197;Ms.;Diane;Krane;Fabrikam Inc.;117-555-0175; Wes;Czech Republic;East;18%
685;Mr.;James;Haugh;Family Cycle Store;763-555-0120;Garrett;Czech Republic;East;18%
293;Mr.;Conor;Cunningham;Fashionable Bikes;115-555-0113;Shu;Czech Republic;East;18%
317;Mr.;Jacob;Dean;Finer Riding Supplies;767-555-0151;José;Czech Republic;East;18%
290;Mr.;Scott;Culp;Friendly Bikers Shop;119-555-0167;David;Czech Republic;East;18%
127;Mr.;Joseph;Lique;Front Sporting Goods;119-555-0195;Pamela;Czech Republic;East;18%
479;Ms.;Lori;Kane;General Supplies;765-555-0141;José;Czech Republic;East;18%
